time,closing
2015-08-24,613.33
2015-08-25,645.43
2015-08-26,667.44
2015-08-27,673.71
2015-08-28,687.96
2015-08-31,687.11
2015-09-01,672.94
2015-09-02,678.02
2015-09-03,678.25
2015-09-04,650.45
2015-09-07,648.8
2015-09-08,638.22
2015-09-09,660.67
2015-09-10,668.29
2015-09-11,669.87
2015-09-14,662.88
2015-09-15,666.75
2015-09-16,676.48
2015-09-17,671.05
2015-09-18,690.18
2015-09-21,688.9
2015-09-22,693.67
2015-09-23,680.28
2015-09-24,683.88
2015-09-25,682.7
2015-09-30,678.48
2015-10-01,684.79
2015-10-02,686.42
2015-10-05,691.19
2015-10-06,689.06
2015-10-07,679.83
2015-10-08,674.97
2015-10-12,672.96
2015-10-13,672.82
2015-10-14,668.92
2015-10-15,676.05
2015-10-16,681.73
2015-10-19,684.29
2015-10-20,691.21
2015-10-21,686.5
2015-10-22,676.3
2015-10-23,681.97
2015-10-26,690.73
2015-10-27,688.32
2015-10-28,693.53
2015-10-29,690.63
2015-10-30,683.63
2015-11-02,680.01
2015-11-03,682.13
2015-11-04,686.18
2015-11-05,694.43
2015-11-06,694.21
2015-11-09,671.84
2015-11-10,656.7
2015-11-11,667.21
2015-11-12,672.99
2015-11-13,670.52
2015-11-16,659.2
2015-11-17,672.17
2015-11-18,670.67
2015-11-19,680.57
2015-11-20,685.16
2015-11-23,688.29
2015-11-24,687.86
2015-11-25,688.78
2015-11-26,693.42
2015-11-27,694.21
2015-11-30,688.38
2015-12-01,691.95
2015-12-02,690.32
2015-12-03,690.77
2015-12-04,685.77
2015-12-07,683.34
2015-12-08,668.42
2015-12-09,664.08
2015-12-10,658.08
2015-12-11,653.48
2015-12-14,630.37
2015-12-15,639.78
2015-12-16,647.27
2015-12-17,658.11
2015-12-18,667.45
2015-12-21,668.65
2015-12-22,663.42
2015-12-23,659.6
2015-12-24,656.53
2015-12-28,652.05
2015-12-29,673.22
2015-12-30,682.35
2016-01-04,677.79
2016-01-05,684.07
2016-01-06,687.27
2016-01-07,679.66
2016-01-08,682.56
2016-01-11,674.96
2016-01-12,671.3
2016-01-13,686.03
2016-01-14,683.19
2016-01-15,678.43
2016-01-18,683.63
2016-01-19,681.25
2016-01-20,669.68
2016-01-21,665.84
2016-01-22,670.95
2016-01-25,681.43
2016-01-26,678.85
2016-01-27,675.25
2016-01-28,681.29
2016-01-29,682.8
2016-02-01,685.55
2016-02-02,684.86
2016-02-03,680.94
2016-02-04,683.62
2016-02-05,681.31
2016-02-11,647.69
2016-02-12,608.45
2016-02-15,621.37
2016-02-16,634.95
2016-02-17,623.49
2016-02-18,638.43
2016-02-19,644.56
2016-02-22,650.14
2016-02-23,642.31
2016-02-24,643.98
2016-02-25,646.27
2016-02-26,649.3
2016-02-29,651.62
2016-03-02,662.25
2016-03-03,669.01
2016-03-04,673.84
2016-03-07,672.21
2016-03-08,674.32
2016-03-09,679.64
2016-03-10,687.6
2016-03-11,689.17
2016-03-14,691.05
2016-03-15,693.34
2016-03-16,693.44
2016-03-17,691.49
2016-03-18,695.02
2016-03-21,692.42
2016-03-22,691.51
2016-03-23,689.39
2016-03-24,686.26
2016-03-25,683.2
2016-03-28,676.51
2016-03-29,686.5
2016-03-30,691.13
2016-03-31,688.38
2016-04-01,690.69
2016-04-04,696.98
2016-04-05,695.7
2016-04-06,694.03
2016-04-07,697.13
2016-04-08,697.1
2016-04-11,693.01
2016-04-12,693.45
2016-04-14,693.42
2016-04-15,695.62
2016-04-18,695.34
2016-04-19,701.68
2016-04-20,699.86
2016-04-21,701.62
2016-04-22,703.05
2016-04-25,703.7
2016-04-26,702.06
2016-04-27,699.52
2016-04-28,699.7
2016-04-29,699.77
2016-05-02,690.27
2016-05-03,698.66
2016-05-04,694.17
2016-05-09,691.82
2016-05-10,700.23
2016-05-11,703.94
2016-05-12,705.04
2016-05-13,704.37
2016-05-16,701.46
2016-05-17,695.95
2016-05-18,683.87
2016-05-19,679.39
2016-05-20,684.92
2016-05-23,691
2016-05-24,687.71
2016-05-25,689.33
2016-05-26,687.94
2016-05-27,691.54
2016-05-30,692.06
2016-05-31,698.45
2016-06-01,700.03
2016-06-02,701.15
2016-06-03,701.43
2016-06-07,704.77
2016-06-08,703.99
2016-06-09,705.08
2016-06-10,706.81
2016-06-13,695.61
2016-06-14,692.94
2016-06-15,694.66
2016-06-16,680.25
2016-06-17,678.86
2016-06-20,688.95
2016-06-21,688.55
2016-06-22,688.18
2016-06-23,679.52
2016-06-24,647.16
2016-06-27,648.12
2016-06-28,659.3
2016-06-29,669.88
